lang,raw,gold,pred_A,pred_B,is_nonstandard,A_correct,B_correct,change
de,Nochmal,Nochmal,Nochmal,Nochmal,False,True,True,both_TN
de,Normalschanze,Normalschanze,Normalschanze,Normalschanze,False,True,True,both_TN
de,Nowitzki,Nowitzki,Nowitzki,Nowitzki,False,True,True,both_TN
de,Nun,Nun,Nun,Nun,False,True,True,both_TN
de,Nur,Nur,Nur,Nur,False,True,True,both_TN
de,Nächsten,Nächsten,Nächsten,Nächsten,False,True,True,both_TN
de,Nö,Nein,Nö,Nö,True,False,False,both_wrong
de,O,O,O,O,False,True,True,both_TN
ja,OD,OD,OD,OD,False,True,True,both_TN
de,ODER,oder,ODER,ODER,True,False,False,both_wrong
ja,OF,OF,OF,OF,False,True,True,both_TN
de,OMG,OMG,OMG,OMG,False,True,True,both_TN
de,Oder,Oder,Oder,Oder,False,True,True,both_TN
de,Offenbings,Offenbings,Offenbings,Offenbings,False,True,True,both_TN
de,Oh,Oh,Oh,Oh,False,True,True,both_TN
de,Oha,Oha,Oha,Oha,False,True,True,both_TN
de,Ohrwurm,Ohrwurm,Ohrwurm,Ohrwurm,False,True,True,both_TN
de,Olympiaabfahrt,Olympiaabfahrt,Olympiaabfahrt,Olympiaabfahrt,False,True,True,both_TN
de,One-Man-Party,One-Man-Party,One-Man-Party,One-Man-Party,False,True,True,both_TN
de,OneErection,OneErection,OneErection,OneErection,False,True,True,both_TN
de,Oo,Oo,Oo,Oo,False,True,True,both_TN
de,Opel,Opel,Opel,Opel,False,True,True,both_TN
de,Orion,Orion,Orion,Orion,False,True,True,both_TN
de,Ort,Ort,Ort,Ort,False,True,True,both_TN
de,PSP,PSP,PSP,PSP,False,True,True,both_TN
de,Paaren,Paaren,Paaren,Paaren,False,True,True,both_TN
de,Pacific,Pacific,Pacific,Pacific,False,True,True,both_TN
de,Panorama,Panorama,Panorama,Panorama,False,True,True,both_TN
de,Paradise,Paradise,Paradise,Paradise,False,True,True,both_TN
de,Partner,Partner,Partner,Partner,False,True,True,both_TN
de,Patientin,Patientin,Patientin,Patientin,False,True,True,both_TN
de,Penner,Penner,Penner,Penner,False,True,True,both_TN
de,Perfektes,Perfektes,Perfektes,Perfektes,False,True,True,both_TN
de,Pfeil,Pfeil,Pfeil,Pfeil,False,True,True,both_TN
de,Pinakotek,Pinakothek,Pinakotek,Pinakotek,True,False,False,both_wrong
de,Pinakothek,Pinakothek,Pinakothek,Pinakothek,False,True,True,both_TN
de,Pipline,Pipeline,Pipline,Pipline,True,False,False,both_wrong
de,Piraten,Piraten,Piraten,Piraten,False,True,True,both_TN
de,Piraten-Firma,Piraten-Firma,Piraten-Firma,Piraten-Firma,False,True,True,both_TN
de,Piratenpartei,Piratenpartei,Piratenpartei,Piratenpartei,False,True,True,both_TN
de,Plan,Plan,Plan,Plan,False,True,True,both_TN
de,Plattform,Plattform,Plattform,Plattform,False,True,True,both_TN
de,Platz,Platz,Platz,Platz,False,True,True,both_TN
ja,Play,Play,Play,Play,False,True,True,both_TN
de,Podcast-Star,Podcast-Star,Podcast-Star,Podcast-Star,False,True,True,both_TN
de,Politik,Politik,Politik,Politik,False,True,True,both_TN
de,Polizei,Polizei,Polizei,Polizei,False,True,True,both_TN
de,Popo,Popo,Popo,Popo,False,True,True,both_TN
de,Portal,Portal,Portal,Portal,False,True,True,both_TN
de,Portugal,Portugal,Portugal,Portugal,False,True,True,both_TN
de,Post,Post,Post,Post,False,True,True,both_TN
de,Posting,Posting,Posting,Posting,False,True,True,both_TN
de,Preis,Preis,Preis,Preis,False,True,True,both_TN
de,Probier,Probier,Probier,Probier,False,True,True,both_TN
de,Proble,Probleme,Proble,Proble,True,False,False,both_wrong
de,Programm,Programm,Program,Programm,False,False,True,B_fixed_FP
de,Projekte,Projekte,Projekte,Projekte,False,True,True,both_TN
de,Prollos,Prolos,Prollos,Prollos,True,False,False,both_wrong
de,Promis,Promis,Promis,Promis,False,True,True,both_TN
de,Prospekt,Prospekt,Prospekt,Prospekt,False,True,True,both_TN
de,Prpmis,Promis,Prpmis,Prpmis,True,False,False,both_wrong
de,Psychologin,Psychologin,Psychologin,Psychologin,False,True,True,both_TN
de,Punkten,Punkten,Punkten,Punkten,False,True,True,both_TN
de,Püüüüchater,Püchatter,Püüüchater,Püüchater,True,False,False,both_wrong
de,Quietscheentööööööö,Quietschente,Quietscheentöö,Quietscheentöö,True,False,False,both_wrong
de,Quizspiel,Quizspiel,Quizspiel,Quizspiel,False,True,True,both_TN
de,Quoka,Quoka,Quoka,Quoka,False,True,True,both_TN
de,Quote,Quote,Quote,Quote,False,True,True,both_TN
de,ROSENHEIM,Rosenheim,ROSENHEIM,ROSENHEIM,True,False,False,both_wrong
ja,RT,リツイート,リージート,RT,True,False,False,both_wrong
de,RWE,RWE,RWE,RWE,False,True,True,both_TN
de,RZA,RZA,RZA,RZA,False,True,True,both_TN
de,Rate,Rate,Rate,Rate,False,True,True,both_TN
de,Rechner,Rechner,Rechner,Rechner,False,True,True,both_TN
de,Rechnern,Rechnern,Rechnern,Rechnern,False,True,True,both_TN
de,Region,Region,Region,Region,False,True,True,both_TN
de,Reise,Reise,Reise,Reise,False,True,True,both_TN
de,Reisegeier,Reisegeier,Reisegeier,Reisegeier,False,True,True,both_TN
de,Reisen,Reisen,Reisen,Reisen,False,True,True,both_TN
de,Rennerei,Rennerei,Rennerei,Rennerei,False,True,True,both_TN
de,Reply,Reply,Reply,Reply,False,True,True,both_TN
de,Rhon,Rhon,Rhon,Rhon,False,True,True,both_TN
de,Riesenschwдnze,Riesenschwänze,Riesenschwônze,Riesenschwдnze,True,False,False,both_wrong
de,Ring,Ring,Ring,Ring,False,True,True,both_TN
de,Roman,Roman,Roman,Roman,False,True,True,both_TN
de,Romy,Romy,Romy,Romy,False,True,True,both_TN
de,Rosa,Rosa,Rosa,Rosa,False,True,True,both_TN
de,Rotlichtbereich,Rotlichtbereich,Rotlichtbereich,Rotlichtbereich,False,True,True,both_TN
de,Runde,Runde,Runde,Runde,False,True,True,both_TN
de,Rüsselsheim,Rüsselsheim,Rüsselsheim,Rüsselsheim,False,True,True,both_TN
de,SC,schwerer,SC,SC,True,False,False,both_wrong
de,SEINE,SEINE,SEINE,SEINE,False,True,True,both_TN
ja,SINoALICE,SINoALICE,SINoALICE,SINoALICE,False,True,True,both_TN
de,SPiele,SPiele,SPiele,SPiele,False,True,True,both_TN
de,ST,ST,ST,ST,False,True,True,both_TN
de,STUDIOCHARAKTER,Studiocharakter,STUDIOCHARAKTER,STUDIOCHARAKTER,True,False,False,both_wrong
de,STunde,Stunde,STunde,STunde,True,False,False,both_wrong
de,SWTOR,SWTOR,SWTOR,SWTOR,False,True,True,both_TN
de,Sag,Sag,Sag,Sag,False,True,True,both_TN
de,Sander,Sander,Sander,Sander,False,True,True,both_TN
de,Sardinenbüchse,Sardinenbüchse,Sardinenbüchse,Sardinenbüchse,False,True,True,both_TN
de,Schaaaaaaaaaaaaatz,Schatz,Schaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Schaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,False,False,both_wrong
de,Schatz,Schatz,Schätz,Schatz,False,False,True,B_fixed_FP
de,Scheinen,Scheinen,Scheinen,Scheinen,False,True,True,both_TN
de,Scheiss,Scheisse,Scheisse,Scheiss,True,True,False,A_only_correct
de,Scheisse,Scheisse,Scheisse,Scheisse,False,True,True,both_TN
de,Schildband,Schildband,Schildband,Schildband,False,True,True,both_TN
de,Schirm,Schirm,Schirm,Schirm,False,True,True,both_TN
de,Schone,Schone,Schone,Schone,False,True,True,both_TN
de,Schreibe,Schreibe,Schreibe,Schreibe,False,True,True,both_TN
de,Schwдnze,Schwänze,Schwônze,Schwienze,True,False,False,both_wrong
de,Sea,Sea,Sea,Sea,False,True,True,both_TN
de,Seidentuch,Seidentuch,Seidentuch,Seidentuch,False,True,True,both_TN
de,Seite,Seite,Seite,Seite,False,True,True,both_TN
de,Selbstständigkeit,Selbstständigkeit,Selbstständigkeit,Selbstständigkeit,False,True,True,both_TN
de,Seyfarth,Seyfarth,Seyfarth,Seyfarth,False,True,True,both_TN
de,Show,Show,Show,Show,False,True,True,both_TN
de,Sie,Sie,Sie,Sie,False,True,True,both_TN
de,Sind,Sind,Sind,Sind,False,True,True,both_TN
de,Sinn,Sinn,Sinn,Sinn,False,True,True,both_TN
de,Siri,Siri,Siri,Siri,False,True,True,both_TN
de,Situation,Situation,Situation,Situation,False,True,True,both_TN
de,Skandal,Skandal,Skandal,Skandal,False,True,True,both_TN
de,Skype,Skype,Skype,Skype,False,True,True,both_TN
de,Skyrim,Skyrim,Skyrim,Skyrim,False,True,True,both_TN
de,Snuggie,Snuggie,Snuggie,Snuggie,False,True,True,both_TN
de,So,So,So,So,False,True,True,both_TN
de,Social-Media-Welt,Social-Media-Welt,Social-Media-Welt,Social-Media-Welt,False,True,True,both_TN
de,Soiw,Soiw,Soiw,Soiw,False,True,True,both_TN
de,Solution,Solution,Solution,Solution,False,True,True,both_TN
de,Sooo,So,So,So,True,True,True,both_correct
de,Sorge,Sorge,Sorge,Sorge,False,True,True,both_TN
de,Spanien,Spanien,Spanien,Spanien,False,True,True,both_TN
de,Spass,Spass,Spass,Spass,False,True,True,both_TN
de,Speisezimmer,Speisezimmer,Speisezimmer,Speisezimmer,False,True,True,both_TN
de,Spiegelreflex,Spiegelreflex,Spiegelreflex,Spiegelreflex,False,True,True,both_TN
de,Spiel,Spiel,Spiel,Spiel,False,True,True,both_TN
de,Spielern,Spielern,Spielern,Spielern,False,True,True,both_TN
de,Spielzeug,Spielzeug,Spielzeug,Spielzeug,False,True,True,both_TN
de,Spinner,Spinner,Spinner,Spinner,False,True,True,both_TN
de,Spr,Sprüche,Spr,Spr,True,False,False,both_wrong
de,Sry,Sorry,Sorry,Sry,True,True,False,A_only_correct
de,Stadt,Stadt,Stadt,Stadt,False,True,True,both_TN
de,Stadtgebiet,Stadtgebiet,Stadtgebiet,Stadtgebiet,False,True,True,both_TN
de,Star,Star,Star,Star,False,True,True,both_TN
de,Start-up-Unternehmen,Start-up-Unternehmen,Start-up-Unternehmen,Start-up-Unternehmen,False,True,True,both_TN
de,Staubsaugern,Staubsaugern,Staubsaugern,Staubsaugern,False,True,True,both_TN
de,Stck,Stück,Stck,Stck,True,False,False,both_wrong
de,Stimmen,Stimmen,Stimmen,Stimmen,False,True,True,both_TN
de,Stimmung,Stimmung,Stimmung,Stimmung,False,True,True,both_TN
de,Strand,Strand,Strand,Strand,False,True,True,both_TN
de,Strudelteig,Strudelteig,Strudelteig,Strudelteig,False,True,True,both_TN
de,Stuhlen,Stühlen,Stuhlen,Stuhlen,True,False,False,both_wrong
de,Stunde,Stunde,Stunde,Stunde,False,True,True,both_TN
de,Stunden,Stunden,Stunden,Stunden,False,True,True,both_TN
de,Suchfunktion,Suchfunktion,Suchfunktion,Suchfunktion,False,True,True,both_TN
de,Supi,Super,Supi,Supi,True,False,False,both_wrong
de,SÜDL.,Südl.,SÜDL.,SÜDL.,True,False,False,both_wrong
de,T,T,T,T,False,True,True,both_TN
de,TAGESORDNUNG,Tagesordnung,TAGESORDNUNG,TAGESORDNUNG,True,False,False,both_wrong
ja,TL,タイムライン,TL,TL,True,False,False,both_wrong
de,TRÖDEL,Trödel,TRÖDEL,TRÖDEL,True,False,False,both_wrong
de,TUV,TÜV,TÜV,TUV,True,True,False,A_only_correct
de,Tach,Tag,Tach,Tach,True,False,False,both_wrong
de,Tag,Tag,Tag,Tag,False,True,True,both_TN
de,Tasse,Tasse,Tasse,Tasse,False,True,True,both_TN
de,Tee-Ei,Tee-Ei,Tee-Ei,Tee-Ei,False,True,True,both_TN
de,Telefonierer,Telefonierer,Telefonierer,Telefonierer,False,True,True,both_TN
de,Telefonsex,Telefonsex,Telefonsex,Telefonsex,False,True,True,both_TN
de,Tiefpreisgarantie,Tiefpreisgarantie,Tiefpreisgarantie,Tiefpreisgarantie,False,True,True,both_TN
de,Timeline,Timeline,Timeline,Timeline,False,True,True,both_TN
de,Tipp,Tipp,Tipp,Tipp,False,True,True,both_TN
de,Tisch,Tisch,Tisch,Tisch,False,True,True,both_TN
de,To,To,To,To,False,True,True,both_TN
ja,ToDo,ToDo,ToDo,ToDo,False,True,True,both_TN
de,Tod,Tod,Tod,Tod,False,True,True,both_TN
de,Toma,Toma,Toma,Toma,False,True,True,both_TN
de,Tor,Tor,Tor,Tor,False,True,True,both_TN
de,Torwart,Torwart,Torwart,Torwart,False,True,True,both_TN
de,Treuer,Treuer,Treuer,Treuer,False,True,True,both_TN
de,Tränchen,Tränchen,Tränchen,Tränchen,False,True,True,both_TN
de,Trödel,Trödelware,Trödel,Trödel,True,False,False,both_wrong
de,Tupper,Tupper,Tupper,Tupper,False,True,True,both_TN
de,Turbulenzen,Turbulenzen,Turbulenzen,Turbulenzen,False,True,True,both_TN
de,Tweak,Tweak,Tweak,Tweak,False,True,True,both_TN
de,Tweets,Tweets,Tweets,Tweets,False,True,True,both_TN
ja,Twitter,Twitter,Twitter,Twitter,False,True,True,both_TN
de,Türchen,Türchen,Türchen,Türchen,False,True,True,both_TN
ja,Tシャツ,Tシャツ,Tシャツ,Tシャツ,False,True,True,both_TN
ja,URL,URL,URL,URL,False,True,True,both_TN
de,Umschlag,Umschlag,Umschlag,Umschlag,False,True,True,both_TN
de,Und,Und,Und,Und,False,True,True,both_TN
de,Unternehmensberatung,Unternehmensberatung,Unternehmensberatung,Unternehmensberatung,False,True,True,both_TN
de,Unternehmer,Unternehmer,Unternehmer,Unternehmer,False,True,True,both_TN
de,Unternehmer-Teams,Unternehmer-Teams,Unternehmer-Teams,Unternehmer-Teams,False,True,True,both_TN
de,Urlaub,Urlaub,Urlaub,Urlaub,False,True,True,both_TN
de,VIERTE,Vierte,VIERTE,VIERTE,True,False,False,both_wrong
ja,VIP,VIP,VIP,VIP,False,True,True,both_TN
de,VOICE,VOICE,VOICE,VOICE,False,True,True,both_TN
de,Valentino,Valentino,Valentino,Valentino,False,True,True,both_TN
de,Vasenset,Vasenset,Vasenset,Vasenset,False,True,True,both_TN
de,Veranstaltungska,Veranstaltungskalender,Veranstaltungska,Veranstaltungska,True,False,False,both_wrong
de,Veranstaltungskalender,Veranstaltungskalender,Veranstaltungskalender,Veranstaltungskalender,False,True,True,both_TN
de,Verdacht,Verdacht,Verdacht,Verdacht,False,True,True,both_TN
de,Vergleich,Vergleich,Vergleich,Vergleich,False,True,True,both_TN
de,Verkauf,Verkauf,Verkauf,Verkauf,False,True,True,both_TN
de,Verkaufen,verkaufen,Verkaufen,Verkaufen,True,False,False,both_wrong
de,Vermutung,Vermutung,Vermutung,Vermutung,False,True,True,both_TN
de,Vermögen,Vermögen,Vermögen,Vermögen,False,True,True,both_TN
de,Verschicken,Verschicken,Verschicken,Verschicken,False,True,True,both_TN
de,Versklavung,Versklavung,Versklavung,Versklavung,False,True,True,both_TN
de,Verstärkung,Verstärkung,Verstärkung,Verstärkung,False,True,True,both_TN
de,Verzug,Verzug,Verzug,Verzug,False,True,True,both_TN
de,Vettel,Vettel,Vettel,Vettel,False,True,True,both_TN
de,Vid,Video,Video,Vid,True,True,False,A_only_correct
de,Viertelacker,Viertelacker,Viertelacker,Viertelacker,False,True,True,both_TN
ja,Vlog,Vlog,Vlog,Vlog,False,True,True,both_TN
de,Von,Von,Von,Von,False,True,True,both_TN
de,Vorallem,Vor allem,Vor allem,Vorallem,True,True,False,A_only_correct
de,Vorhaben,Vorhaben,Vorhaben,Vorhaben,False,True,True,both_TN
de,Vorwerk,Vorwerk,Vorwerk,Vorwerk,False,True,True,both_TN
de,Vorwüfe,Vorwürfe,Vorwüfe,Vorwüfe,True,False,False,both_wrong
de,WC,WC,WC,WC,False,True,True,both_TN
de,WE,Wochenende,WE,WE,True,False,False,both_wrong
de,WETTER,Wetter,WETTER,WETTER,True,False,False,both_wrong
de,WH,WH,WH,WH,False,True,True,both_TN
de,WP7,WP7,WP7,WP7,False,True,True,both_TN
de,Ware,,Ware,Ware,True,False,False,both_wrong
de,Warum,Warum,Warum,Warum,False,True,True,both_TN
de,Was,Was,Was,Was,False,True,True,both_TN
ja,Web,Web,Web,Web,False,True,True,both_TN
de,Wechsele,Wechsele,Wechsele,Wechsele,False,True,True,both_TN
de,Weihnachten,Weihnachten,Weihnachten,Weihnachten,False,True,True,both_TN
de,Weihnachtsmann,Weihnachtsmann,Weihnachtsmann,Weihnachtsmann,False,True,True,both_TN
de,Weil,Weil,Weil,Weil,False,True,True,both_TN
de,Welt,Welt,Welt,Welt,False,True,True,both_TN
de,Weltuntergang-und-gleich-setz-ich-mir-den-goldenen-Schuss-Musik,Weltuntergang und gleich setze ich mir den goldenen Schuss Musik,Weltuntergang-und-Gleich-Setz-Ic,Weltuntergang-und-gleich-setz-ic,True,False,False,both_wrong
de,Wenn,Wenn,Wenn,Wenn,False,True,True,both_TN
de,Werbung,Werbung,Werbung,Werbung,False,True,True,both_TN
de,Westwerk,Westwerk,Westwerk,Westwerk,False,True,True,both_TN
de,Wetten,Wetten,Wetten,Wetten,False,True,True,both_TN
de,Wetter,Wetter,Wetter,Wetter,False,True,True,both_TN
de,Wichtigkeit,Wichtigkeit,Wichtigkeit,Wichtigkeit,False,True,True,both_TN
de,Wie,Wie,Wie,Wie,False,True,True,both_TN
de,Wieso,Wieso,Wieso,Wieso,False,True,True,both_TN
ja,Wikipedia,Wikipedia,Wikipedia,Wikipedia,False,True,True,both_TN
de,Wir,Wir,Wir,Wir,False,True,True,both_TN
de,Wird,Wird,Wird,Wird,False,True,True,both_TN
de,Wissen,Wissen,Wissen,Wissen,False,True,True,both_TN
de,Witze,Witze,Witze,Witze,False,True,True,both_TN
de,Wochenende,Wochenende,Wochenende,Wochenende,False,True,True,both_TN
de,Wohlfuehlcharakter,Wohlfühlcharakter,Wohlfühlcharakter,Wohlfühlcharakter,True,True,True,both_correct
de,Wohnen,Wohnen,Wohnen,Wohnen,False,True,True,both_TN
de,Wollstrumpfhosen,Wollstrumpfhosen,Wollstrumpfhosen,Wollstrumpfhosen,False,True,True,both_TN
de,Worldpictures,Worldpictures,Worldpictures,Worldpictures,False,True,True,both_TN
de,Wort,Wort,Wort,Wort,False,True,True,both_TN
de,Worte,Worte,Worte,Worte,False,True,True,both_TN
de,Wundert,Wundert,Wundert,Wundert,False,True,True,both_TN
de,Wunschgruppe,Wunschgruppe,Wunschgruppe,Wunschgruppe,False,True,True,both_TN
de,Wäre,Wäre,Wäre,Wäre,False,True,True,both_TN
de,Wünsch,Wünsche,Wünsch,Wünsch,True,False,False,both_wrong
de,Wünsche,Wünsche,Wünsche,Wünsche,False,True,True,both_TN
de,Xavier,Xavier,Xavier,Xavier,False,True,True,both_TN
de,Xing-Gruppeneinladung,Xing-Gruppeneinladung,Xing-Gruppeneinladung,Xing-Gruppeneinladung,False,True,True,both_TN
de,Y,Y,Y,Y,False,True,True,both_TN
ja,YANKEE,YANKEE,YANKEE,YANKEE,False,True,True,both_TN
de,Yorkey's,Yorkey's,Yorkey's,Yorkey's,False,True,True,both_TN
ja,YouTube,YouTube,YouTube,YouTube,False,True,True,both_TN
de,Zeit,Zeit,Zeit,Zeit,False,True,True,both_TN
de,Zeitdruck,Zeitdruck,Zeitdruck,Zeitdruck,False,True,True,both_TN
de,Zeiten,Zeiten,Zeiten,Zeiten,False,True,True,both_TN
de,Zertifikate,Zertifikate,Zertifikate,Zertifikate,False,True,True,both_TN
de,Zettel,Zettel,Zettel,Zettel,False,True,True,both_TN
de,Zeug,Zeug,Zeug,Zeug,False,True,True,both_TN
de,Zillertal,Zillertal,Zillertal,Zillertal,False,True,True,both_TN
de,Zimmer,Zimmer,Zimmer,Zimmer,False,True,True,both_TN
de,Zuhause,Zuhause,Zu Hause,Zuhause,False,False,True,B_fixed_FP
de,Zunge,Zunge,Zunge,Zunge,False,True,True,both_TN
de,Zw.,Zwischen,Zw.,Zw.,True,False,False,both_wrong
en,[,[,[,[,False,True,True,both_TN
de,[:,[:,[:,[:,False,True,True,both_TN
en,],],],],False,True,True,both_TN
de,^^,^^,^^,^^,False,True,True,both_TN
de,^^;,^^;,^^;,^^;,False,True,True,both_TN
en,__,__,__,__,False,True,True,both_TN
ja,a,a,a,a,False,True,True,both_TN
de,a),a),a),a),False,True,True,both_TN
en,a1,a1,a1,a1,False,True,True,both_TN
en,a2,a2,a2,a2,False,True,True,both_TN
en,a3,a3,a3,a3,False,True,True,both_TN
en,a9lan,a9lan,a9lan,a9lan,False,True,True,both_TN
de,aa1220,aa1220,aa1220,aa1220,False,True,True,both_TN
en,aap,aap,aap,aap,False,True,True,both_TN
en,aav,aav,aav,aav,False,True,True,both_TN
de,ab,ab,ab,ab,False,True,True,both_TN
en,abduction,abduction,abduction,abduction,False,True,True,both_TN
en,abdullah,abdullah,abdullah,abdullah,False,True,True,both_TN
de,abend,Abend,Abend,abend,True,True,False,A_only_correct
de,aber,aber,aber,aber,False,True,True,both_TN
de,abgeben,abgeben,abgeben,abgeben,False,True,True,both_TN
de,abgehen,abgehen,abgehen,abgehen,False,True,True,both_TN
de,abgeliefert,abgeliefert,abgeliefert,abgeliefert,False,True,True,both_TN
de,abgeschickt,abgeschickt,abgeschickt,abgeschickt,False,True,True,both_TN
de,abgeschossen,abgeschossen,abgeschossen,abgeschossen,False,True,True,both_TN
de,abgeschrieben,abgeschrieben,abgeschrieben,abgeschrieben,False,True,True,both_TN
de,abgesicherte,abgesicherte,abgesicherte,abgesicherte,False,True,True,both_TN
de,abnormal,abnormal,abnormal,abnormal,False,True,True,both_TN
de,aboniert,abonniert,aboniert,aboniert,True,False,False,both_wrong
en,about,about,about,about,False,True,True,both_TN
en,abs,abs,abs,abs,False,True,True,both_TN
de,absurd,absurd,absurd,absurd,False,True,True,both_TN
en,abt,about,abt,abt,True,False,False,both_wrong
de,abwechselnd,abwechselnd,abwechselnd,abwechselnd,False,True,True,both_TN
de,abzugeben,abzugeben,abzugeben,abzugeben,False,True,True,both_TN
en,ac,ac,ac,ac,False,True,True,both_TN
en,access,access,access,access,False,True,True,both_TN
en,accidentally,accidentally,accidentally,accidentally,False,True,True,both_TN
en,account,account,account,account,False,True,True,both_TN
en,accountability,accountability,accountability,accountability,False,True,True,both_TN
en,accounts,accounts,accounts,accounts,False,True,True,both_TN
en,acesse,acesse,acesse,acesse,False,True,True,both_TN
de,ach,Ach,Ach,ach,True,True,False,A_only_correct
en,achieved,achieved,achieved,achieved,False,True,True,both_TN
en,achilles,achilles,achilles,achilles,False,True,True,both_TN
de,achso,Ach so,Ach so,achso,True,True,False,A_only_correct
de,acmış,acmış,acmış,acmış,False,True,True,both_TN
en,act,act,act,act,False,True,True,both_TN
en,acting,acting,acting,acting,False,True,True,both_TN
en,activations,activations,activations,activations,False,True,True,both_TN
en,actor,actor,actor,actor,False,True,True,both_TN
en,acts,acts,acts,acts,False,True,True,both_TN
en,actual,actual,actual,actual,False,True,True,both_TN
en,actually,actually,actually,actually,False,True,True,both_TN
en,actully,actually,actully,actully,True,False,False,both_wrong
en,acura,acura,acura,acura,False,True,True,both_TN
en,adam,adam,adam,adam,False,True,True,both_TN
en,adapter,adapter,adapter,adapter,False,True,True,both_TN
en,add,add,add,add,False,True,True,both_TN
en,added,added,added,added,False,True,True,both_TN
de,adden,adden,adden,adden,False,True,True,both_TN
en,addicted,addicted,addicted,addicted,False,True,True,both_TN
en,addicts,addicts,addicts,addicts,False,True,True,both_TN
en,adding,adding,adding,adding,False,True,True,both_TN
en,adhesive,adhesive,adhesive,adhesive,False,True,True,both_TN
en,adorable,adorable,adorable,adorable,False,True,True,both_TN
en,adorexonly,adorexonly,adorexonly,adorexonly,False,True,True,both_TN
en,adrian,adrian,adrian,adrian,False,True,True,both_TN
en,adult,adult,adult,adult,False,True,True,both_TN
en,adultwork,adult work,adultwork,adultwork,True,False,False,both_wrong
en,advance,advance,advance,advance,False,True,True,both_TN
en,advanced,advanced,advanced,advanced,False,True,True,both_TN
en,advani,advani,advani,advani,False,True,True,both_TN
en,aegyo,aegyo,aegyo,aegyo,False,True,True,both_TN
en,af,as fuck,af,af,True,False,False,both_wrong
en,afford,afford,afford,afford,False,True,True,both_TN
en,afk,afk,afk,afk,False,True,True,both_TN
en,after,after,after,after,False,True,True,both_TN
en,again,again,again,again,False,True,True,both_TN
en,against,against,against,against,False,True,True,both_TN
en,agent,agent,agent,agent,False,True,True,both_TN
en,ago,ago,ago,ago,False,True,True,both_TN
en,agreed,agreed,agreed,agreed,False,True,True,both_TN
en,aguero,aguero,aguero,aguero,False,True,True,both_TN
en,aguilera,aguilera,aguilera,aguilera,False,True,True,both_TN
de,ah,ah,ah,ah,False,True,True,both_TN
en,ahahaha,ahahaha,ahahaha,ahahaha,False,True,True,both_TN
en,ahahahaa,ahahahaa,ahahahaa,ahahahaa,False,True,True,both_TN
en,ahh,ahh,ahh,ahh,False,True,True,both_TN
en,ahhh,ahhh,ahhh,ahhh,False,True,True,both_TN
de,ahhhh,ahhhh,ahhhh,ahhhh,False,True,True,both_TN
en,ahhhhh,ahhhhh,ahhhhh,ahhhhh,False,True,True,both_TN
de,ahhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,False,False,False,both_FP
de,ahja,ah ja,ahja,ahja,True,False,False,both_wrong
de,ahnungsloses,ahnungsloses,Ahnungsloses,ahnungsloses,False,False,True,B_fixed_FP
en,aigooo,aigooo,aigooo,aigo,False,True,False,B_new_FP
en,aiko,aiko,aiko,aiko,False,True,True,both_TN
en,aimez,aimez,aimez,aimez,False,True,True,both_TN
en,ain,ain,ain,ain,False,True,True,both_TN
en,ain't,ain't,ain't,ain't,False,True,True,both_TN
en,aina,aina,ain't,aina,False,False,True,B_fixed_FP
en,ainda,ainda,ain't,ain't,False,False,False,both_FP
en,aint,ain't,ain't,ain't,True,True,True,both_correct
en,air,air,air,air,False,True,True,both_TN
en,airball,airball,airball,airball,False,True,True,both_TN
en,airport,airport,airport,airport,False,True,True,both_TN
en,aka,aka,aka,aka,False,True,True,both_TN
en,akong,akong,akong,akong,False,True,True,both_TN
en,aku,aku,aku,aku,False,True,True,both_TN
en,akukamba,akukamba,akukamba,akukamba,False,True,True,both_TN
en,alastair,alastair,alastair,alastair,False,True,True,both_TN
en,album,album,album,album,False,True,True,both_TN
en,alert,alert,alert,alert,False,True,True,both_TN
en,algo,algo,algo,algo,False,True,True,both_TN
de,alkohol,Alkohol,alkohol,alkohol,True,False,False,both_wrong
en,all,all,all,all,False,True,True,both_TN
en,all-in-one,all-in-one,all-in-one,all-in-one,False,True,True,both_TN
en,allah,allah,allah,allah,False,True,True,both_TN
de,alleine,alleine,alleine,alleine,False,True,True,both_TN
de,allen,allen,allen,allen,False,True,True,both_TN
de,aller,aller,aller,aller,False,True,True,both_TN
de,allerdings,allerdings,allerdings,allerdings,False,True,True,both_TN
de,alles,alles,alles,alles,False,True,True,both_TN
en,allowed,allowed,allowed,allowed,False,True,True,both_TN
en,almost,almost,almost,almost,False,True,True,both_TN
en,alone,alone,alone,alone,False,True,True,both_TN
en,along,along,along,along,False,True,True,both_TN
en,alonso,alonso,alonso,alonso,False,True,True,both_TN
en,alot,a lot,a lot,alot,True,True,False,A_only_correct
en,aloud,aloud,aloud,aloud,False,True,True,both_TN
en,alrdy,already,alrdy,alrdy,True,False,False,both_wrong
en,already,already,already,already,False,True,True,both_TN
de,als,als,als,als,False,True,True,both_TN
en,also,also,also,also,False,True,True,both_TN
de,alter,Alter,alter,alter,True,False,False,both_wrong
de,altes,altes,altes,altes,False,True,True,both_TN
